,Gene,Image,MTOC,MTOC leading edge,Non MTOC,timepoint
10_39,arhgdia,10,0.208844019194,,0.162093411545,3h
10_40,arhgdia,10,0.208844019194,,0.162093411545,3h
10_41,arhgdia,10,0.208637757666,,0.16105198985,3h
10_42,arhgdia,10,0.215469302846,,0.159631959329,3h
10_43,arhgdia,10,0.215201438849,,0.158636062442,3h
10_44,arhgdia,10,0.211406732578,,0.161733297637,3h
10_45,arhgdia,10,0.214915709187,,0.164535699521,3h
10_46,arhgdia,10,0.214915709187,,0.164535699521,3h
10_47,arhgdia,10,0.214772511876,,0.179512972413,3h
10_48,arhgdia,10,0.21108258967,,0.183746908767,3h
10_49,arhgdia,10,0.214586394105,,0.176337525702,3h
10_50,arhgdia,10,0.214583931133,,0.169683755109,3h
10_51,arhgdia,10,0.214581468218,,0.168861891759,3h
10_52,arhgdia,10,0.221865602259,,0.16762557151,3h
10_53,arhgdia,10,0.225562291186,,0.160183647823,3h
10_54,arhgdia,10,0.221973885932,,0.162792219195,3h
10_55,arhgdia,10,0.222106518055,,0.161766679229,3h
10_56,arhgdia,10,0.222254640995,,0.164158737461,3h
10_57,arhgdia,10,0.222538669215,,0.170571558673,3h
10_58,arhgdia,10,0.226625178076,,0.173006207571,3h
10_59,arhgdia,10,0.226625178076,,0.173006207571,3h
10_60,arhgdia,10,0.223395126292,,0.174015286183,3h
10_61,arhgdia,10,0.220207553944,,0.175050430984,3h
10_62,arhgdia,10,0.220207553944,,0.175050430984,3h
10_63,arhgdia,10,0.231840907243,,0.167517047103,3h
10_64,arhgdia,10,0.235767348315,,0.164879467922,3h
10_65,arhgdia,10,0.236142081148,,0.163649261879,3h
10_66,arhgdia,10,0.244266718057,,0.157945594993,3h
10_67,arhgdia,10,0.23731649806,,0.163292255005,3h
10_68,arhgdia,10,0.241336633663,,0.16553120485,3h
10_69,arhgdia,10,0.253144109164,,0.164997450469,3h
10_70,arhgdia,10,0.25712509114,,0.167026619749,3h
10_71,arhgdia,10,0.260998870402,,0.166176335536,3h
10_72,arhgdia,10,0.261041872617,,0.165059153004,3h
10_73,arhgdia,10,0.261201719265,,0.160217061873,3h
10_74,arhgdia,10,0.261337127103,,0.162182537289,3h
10_75,arhgdia,10,0.261458806056,,0.168159985908,3h
10_76,arhgdia,10,0.261458806056,,0.168159985908,3h
10_77,arhgdia,10,0.265182991513,,0.169289684651,3h
10_78,arhgdia,10,0.261278638318,,0.175106033216,3h
10_79,arhgdia,10,0.253431424438,,0.182014806811,3h
10_80,arhgdia,10,0.253187239293,,0.183784648165,3h
10_81,arhgdia,10,0.254108365322,,0.183108829618,3h
10_82,arhgdia,10,0.257029876977,,0.177376301283,3h
10_83,arhgdia,10,0.260869948723,,0.171502705202,3h
10_84,arhgdia,10,0.253990051393,,0.175195568581,3h
10_85,arhgdia,10,0.254488012283,,0.174008854471,3h
10_86,arhgdia,10,0.25555344711,,0.172643802846,3h
10_87,arhgdia,10,0.263546388323,,0.17214954396,3h
10_88,arhgdia,10,0.265083386614,,0.166105309588,3h
10_89,arhgdia,10,0.262797706689,,0.162634023021,3h
10_90,arhgdia,10,0.268943504435,,0.158824631634,3h
11_1,arhgdia,11,0.199164735895,,0.277700277996,3h
11_2,arhgdia,11,0.309267031037,,0.224920400326,3h
11_3,arhgdia,11,0.309267031037,,0.224920400326,3h
11_4,arhgdia,11,0.304374711084,,0.225511822353,3h
11_5,arhgdia,11,0.304374711084,,0.225511822353,3h
11_6,arhgdia,11,0.305036930957,,0.225855980141,3h
11_7,arhgdia,11,0.303426189211,,0.232001110115,3h
11_8,arhgdia,11,0.303426189211,,0.232001110115,3h
11_9,arhgdia,11,0.298108694156,,0.238772314329,3h
11_10,arhgdia,11,0.298509474329,,0.239245105088,3h
11_11,arhgdia,11,0.296418548823,,0.239487249466,3h
11_12,arhgdia,11,0.289762747777,,0.245323883782,3h
11_13,arhgdia,11,0.285273951923,,0.244583394278,3h
11_14,arhgdia,11,0.285273951923,,0.244583394278,3h
11_15,arhgdia,11,0.289451219844,,0.243371307289,3h
11_16,arhgdia,11,0.285857734295,,0.248894489954,3h
11_17,arhgdia,11,0.285857734295,,0.248894489954,3h
11_18,arhgdia,11,0.289982495438,,0.252811238993,3h
11_19,arhgdia,11,0.293348762591,,0.254528139303,3h
11_20,arhgdia,11,0.293348762591,,0.254528139303,3h
11_21,arhgdia,11,0.294535015483,,0.252939171847,3h
11_22,arhgdia,11,0.288688504224,,0.250217297128,3h
11_23,arhgdia,11,0.284090323578,,0.253041006259,3h
11_24,arhgdia,11,0.284090323578,,0.253041006259,3h
11_25,arhgdia,11,0.277034219946,,0.260508097529,3h
11_26,arhgdia,11,0.27256808442,,0.256453711615,3h
11_27,arhgdia,11,0.265826572683,,0.267614313157,3h
11_28,arhgdia,11,0.265826572683,,0.267614313157,3h
11_29,arhgdia,11,0.275505428918,,0.263196198562,3h
11_30,arhgdia,11,0.269415648272,,0.272720420358,3h
11_31,arhgdia,11,0.263770778203,,0.274567298506,3h
11_32,arhgdia,11,0.263770778203,,0.274567298506,3h
11_33,arhgdia,11,0.264469271153,,0.268937487472,3h
11_34,arhgdia,11,0.261926164719,,0.280680135698,3h
11_35,arhgdia,11,0.259481878443,,0.282908515638,3h
11_36,arhgdia,11,0.259481878443,,0.282908515638,3h
11_37,arhgdia,11,0.256813553334,,0.276652718782,3h
11_38,arhgdia,11,0.260772584274,,0.279171186119,3h
11_39,arhgdia,11,0.261569587319,,0.269481464044,3h
11_40,arhgdia,11,0.261796633567,,0.269037441303,3h
11_41,arhgdia,11,0.259206531485,,0.267547330845,3h
11_42,arhgdia,11,0.240007574204,,0.279113935192,3h
11_43,arhgdia,11,0.231915916921,,0.286423440124,3h
11_44,arhgdia,11,0.224331542326,,0.216431440203,3h
11_45,arhgdia,11,0.224331542326,,0.216431440203,3h
11_46,arhgdia,11,0.21813870855,,0.218883535761,3h
11_47,arhgdia,11,0.211958772191,,0.22131037022,3h
11_48,arhgdia,11,0.205897782772,,0.223878219814,3h
11_49,arhgdia,11,0.205897782772,,0.223878219814,3h
11_50,arhgdia,11,0.203114149885,,0.23117206254,3h
11_51,arhgdia,11,0.207080108204,,0.22908735414,3h
11_52,arhgdia,11,0.197485064042,,0.231275305349,3h
11_53,arhgdia,11,0.204878285326,,0.229889542877,3h
11_54,arhgdia,11,0.204878285326,,0.229889542877,3h
11_55,arhgdia,11,0.198737530751,,0.231394653668,3h
11_56,arhgdia,11,0.206266375191,,0.220902541723,3h
11_57,arhgdia,11,0.210541292698,,0.214595725121,3h
11_58,arhgdia,11,0.210541292698,,0.214595725121,3h
11_59,arhgdia,11,0.207684745207,,0.216488675952,3h
11_60,arhgdia,11,0.208339040627,,0.218103267379,3h
11_61,arhgdia,11,0.209264314174,,0.220413257029,3h
11_62,arhgdia,11,0.209264314174,,0.220413257029,3h
11_63,arhgdia,11,0.206377394731,,0.212933036674,3h
11_64,arhgdia,11,0.206974858294,,0.214477951671,3h
11_65,arhgdia,11,0.211320440147,,0.211988414216,3h
11_66,arhgdia,11,0.211320440147,,0.211988414216,3h
11_67,arhgdia,11,0.208447151299,,0.213308153813,3h
11_68,arhgdia,11,0.20554552114,,0.210047593692,3h
11_69,arhgdia,11,0.205845952242,,0.210653218683,3h
11_70,arhgdia,11,0.20667232674,,0.211953139356,3h
11_71,arhgdia,11,0.20419973545,,0.213594625816,3h
11_72,arhgdia,11,0.20419973545,,0.213594625816,3h
11_73,arhgdia,11,0.205031898108,,0.21469771152,3h
11_74,arhgdia,11,0.199125092118,,0.216323636024,3h
11_75,arhgdia,11,0.199125092118,,0.216323636024,3h
11_76,arhgdia,11,0.199852359383,,0.217429687184,3h
11_77,arhgdia,11,0.197630569864,,0.219049736558,3h
11_78,arhgdia,11,0.197630569864,,0.219049736558,3h
11_79,arhgdia,11,0.199024722159,,0.215828489418,3h
11_80,arhgdia,11,0.203578186873,,0.216823526768,3h
11_81,arhgdia,11,0.207880601911,,0.212551845941,3h
11_82,arhgdia,11,0.208810152798,,0.213267028907,3h
11_83,arhgdia,11,0.210437061589,,0.214241158715,3h
11_84,arhgdia,11,0.210437061589,,0.214241158715,3h
11_85,arhgdia,11,0.208368204589,,0.21031765698,3h
11_86,arhgdia,11,0.208368204589,,0.21031765698,3h
11_87,arhgdia,11,0.206389651117,,0.206741017401,3h
11_88,arhgdia,11,0.206389651117,,0.206741017401,3h
11_89,arhgdia,11,0.200805537614,,0.222957533384,3h
11_90,arhgdia,11,0.200805537614,,0.222957533384,3h
12_1,arhgdia,12,0.134856282094,,0.446157178334,3h
12_2,arhgdia,12,0.133227669532,,0.452298277239,3h
12_3,arhgdia,12,0.138971120321,,0.457377239692,3h
12_4,arhgdia,12,0.137291219861,,0.470294669639,3h
12_5,arhgdia,12,0.137882864238,,0.492680460174,3h
12_6,arhgdia,12,0.137882864238,,0.492680460174,3h
12_7,arhgdia,12,0.141844940662,,0.495536553082,3h
12_8,arhgdia,12,0.14995062084,,0.503260479923,3h
12_9,arhgdia,12,0.14995062084,,0.503260479923,3h
12_10,arhgdia,12,0.166468820246,,0.514756782356,3h
12_11,arhgdia,12,0.180167430586,,0.542812468952,3h
12_12,arhgdia,12,0.180167430586,,0.542812468952,3h
12_13,arhgdia,12,0.183632501719,,0.553319811068,3h
12_14,arhgdia,12,0.190905248224,,0.55222550441,3h
12_15,arhgdia,12,0.19497281629,,0.566068546422,3h
12_16,arhgdia,12,0.194153379255,,0.579111218737,3h
12_17,arhgdia,12,0.198196085121,,0.622661442164,3h
12_18,arhgdia,12,0.19926813587,,0.659088034332,3h
12_19,arhgdia,12,0.198644476153,,0.671918753707,3h
12_20,arhgdia,12,0.202805643287,,0.693712730471,3h
12_21,arhgdia,12,0.201185848037,,0.709567898789,3h
12_22,arhgdia,12,0.205545861103,,0.665416170779,3h
12_23,arhgdia,12,0.205545861103,,0.665416170779,3h
12_24,arhgdia,12,0.198383804015,,0.630004916654,3h
12_25,arhgdia,12,0.200484914767,,0.640517363216,3h
12_26,arhgdia,12,0.205470199391,,0.613904823425,3h
12_27,arhgdia,12,0.204827335449,,0.576062804785,3h
12_28,arhgdia,12,0.204827335449,,0.576062804785,3h
12_29,arhgdia,12,0.204320141855,,0.552572073763,3h
12_30,arhgdia,12,0.212381758795,,0.5182403066,3h
12_31,arhgdia,12,0.214867885136,,0.522799996029,3h
12_32,arhgdia,12,0.214867885136,,0.522799996029,3h
12_33,arhgdia,12,0.211828999265,,0.509066174519,3h
12_34,arhgdia,12,0.208991573046,,0.499353135921,3h
12_35,arhgdia,12,0.206276752274,,0.454984985846,3h
12_36,arhgdia,12,0.206442436412,,0.448627657677,3h
12_37,arhgdia,12,0.206442436412,,0.448627657677,3h
12_38,arhgdia,12,0.203769034966,,0.268855348092,3h
12_39,arhgdia,12,0.206780149642,,0.363469115254,3h
12_40,arhgdia,12,0.209883864038,,0.342446593007,3h
12_41,arhgdia,12,0.209883864038,,0.342446593007,3h
12_42,arhgdia,12,0.210314951096,,0.322148226428,3h
12_43,arhgdia,12,0.207957809473,,0.318542933252,3h
12_44,arhgdia,12,0.211490069809,,0.308336056111,3h
12_45,arhgdia,12,0.212350972837,,0.310642026559,3h
12_46,arhgdia,12,0.212350972837,,0.310642026559,3h
12_47,arhgdia,12,0.213341127447,,0.303460874458,3h
12_48,arhgdia,12,0.214386611322,,0.305324956813,3h
12_49,arhgdia,12,0.218439072589,,0.288377148447,3h
12_50,arhgdia,12,0.218439072589,,0.288377148447,3h
12_51,arhgdia,12,0.219610828243,,0.289917640538,3h
12_52,arhgdia,12,0.226672565878,,0.27290248214,3h
12_53,arhgdia,12,0.231404978022,,0.282639473084,3h
12_54,arhgdia,12,0.235780082225,,0.282890556121,3h
12_55,arhgdia,12,0.235780082225,,0.282890556121,3h
12_56,arhgdia,12,0.237221219315,,0.283214060458,3h
12_57,arhgdia,12,0.241772809858,,0.257789912466,3h
12_58,arhgdia,12,0.242408594747,,0.255584944175,3h
12_59,arhgdia,12,0.244119700508,,0.256072713195,3h
12_60,arhgdia,12,0.242816091954,,0.253194513651,3h
12_61,arhgdia,12,0.245386707837,,0.248170042387,3h
12_62,arhgdia,12,0.245386707837,,0.248170042387,3h
12_63,arhgdia,12,0.247254171832,,0.248984890153,3h
12_64,arhgdia,12,0.240845471865,,0.24919571033,3h
12_65,arhgdia,12,0.242609392079,,0.24531790519,3h
12_66,arhgdia,12,0.242609392079,,0.24531790519,3h
12_67,arhgdia,12,0.245668351551,,0.231102407007,3h
12_68,arhgdia,12,0.247648967294,,0.227223286972,3h
12_69,arhgdia,12,0.247648967294,,0.227223286972,3h
12_70,arhgdia,12,0.244362175512,,0.218966724291,3h
12_71,arhgdia,12,0.249724170541,,0.220687591638,3h
12_72,arhgdia,12,0.254555736423,,0.218488379337,3h
12_73,arhgdia,12,0.260178130615,,0.217616401033,3h
12_74,arhgdia,12,0.267897788858,,0.212207036289,3h
12_75,arhgdia,12,0.267897788858,,0.212207036289,3h
12_76,arhgdia,12,0.268997023317,,0.211392596998,3h
12_77,arhgdia,12,0.268997023317,,0.211392596998,3h
12_78,arhgdia,12,0.273529461223,,0.210790560645,3h
12_79,arhgdia,12,0.27245266796,,0.209962520093,3h
12_80,arhgdia,12,0.271082018262,,0.213721378873,3h
12_81,arhgdia,12,0.273553279042,,0.210902259588,3h
12_82,arhgdia,12,0.268528783534,,0.214159771373,3h
12_83,arhgdia,12,0.275349342414,,0.208573146865,3h
12_84,arhgdia,12,0.273641514902,,0.20847190996,3h
12_85,arhgdia,12,0.272357747841,,0.207683717641,3h
12_86,arhgdia,12,0.270027208151,,0.211820637115,3h
12_87,arhgdia,12,0.272877415069,,0.210763637704,3h
12_88,arhgdia,12,0.275264794028,,0.208331071236,3h
12_89,arhgdia,12,0.266431888059,,0.210840232553,3h
12_90,arhgdia,12,0.272839506173,,0.208627923211,3h
13_1,arhgdia,13,0.216146550706,,0.262850083811,3h
13_2,arhgdia,13,0.344552937467,,0.172579718688,3h
13_3,arhgdia,13,0.344552937467,,0.172579718688,3h
13_4,arhgdia,13,0.350506436186,,0.170429165816,3h
13_5,arhgdia,13,0.350506436186,,0.170429165816,3h
13_6,arhgdia,13,0.34312398484,,0.175095589692,3h
13_7,arhgdia,13,0.34312398484,,0.175095589692,3h
13_8,arhgdia,13,0.342734303175,,0.172755472506,3h
13_9,arhgdia,13,0.342641652249,,0.173241533225,3h
13_10,arhgdia,13,0.342597197595,,0.170853747867,3h
13_11,arhgdia,13,0.342597197595,,0.170853747867,3h
13_12,arhgdia,13,0.350179850269,,0.171988885931,3h
13_13,arhgdia,13,0.349672194995,,0.172480401033,3h
13_14,arhgdia,13,0.349906897186,,0.169866235388,3h
13_15,arhgdia,13,0.349906897186,,0.169866235388,3h
13_16,arhgdia,13,0.350434231069,,0.170988587637,3h
13_17,arhgdia,13,0.357778742808,,0.171642554479,3h
13_18,arhgdia,13,0.358514376475,,0.165828896818,3h
13_19,arhgdia,13,0.358514376475,,0.165828896818,3h
13_20,arhgdia,13,0.366949800623,,0.167728730695,3h
13_21,arhgdia,13,0.366949800623,,0.167728730695,3h
13_22,arhgdia,13,0.367946695586,,0.165542499048,3h
13_23,arhgdia,13,0.361777104466,,0.167363544755,3h
13_24,arhgdia,13,0.363112487191,,0.165647592411,3h
13_25,arhgdia,13,0.363112487191,,0.165647592411,3h
13_26,arhgdia,13,0.344223180438,,0.179514285246,3h
13_27,arhgdia,13,0.344223180438,,0.179514285246,3h
13_28,arhgdia,13,0.353564375216,,0.181591058941,3h
13_29,arhgdia,13,0.353564375216,,0.181591058941,3h
13_30,arhgdia,13,0.353564375216,,0.181591058941,3h
13_31,arhgdia,13,0.348891098453,,0.188234849308,3h
13_32,arhgdia,13,0.348891098453,,0.188234849308,3h
13_33,arhgdia,13,0.359154690121,,0.18244225766,3h
13_34,arhgdia,13,0.359154690121,,0.18244225766,3h
13_35,arhgdia,13,0.375461422777,,0.18635837112,3h
13_36,arhgdia,13,0.369795659188,,0.191830345811,3h
13_37,arhgdia,13,0.369795659188,,0.191830345811,3h
13_38,arhgdia,13,0.379172275724,,0.192680481242,3h
13_39,arhgdia,13,0.365927593972,,0.20003710678,3h
13_40,arhgdia,13,0.360670731707,,0.203192400132,3h
13_41,arhgdia,13,0.360670731707,,0.203192400132,3h
13_42,arhgdia,13,0.35713027859,,0.202435766602,3h
13_43,arhgdia,13,0.35713027859,,0.202435766602,3h
13_44,arhgdia,13,0.344645158239,,0.216107400149,3h
13_45,arhgdia,13,0.338883607629,,0.220168693832,3h
13_46,arhgdia,13,0.318944341262,,0.233035807302,3h
13_47,arhgdia,13,0.318944341262,,0.233035807302,3h
13_48,arhgdia,13,0.324354459379,,0.228474232879,3h
13_49,arhgdia,13,0.324354459379,,0.228474232879,3h
13_50,arhgdia,13,0.330106780102,,0.219307009334,3h
13_51,arhgdia,13,0.330106780102,,0.219307009334,3h
13_52,arhgdia,13,0.33059047304,,0.218478209706,3h
13_53,arhgdia,13,0.33059047304,,0.218478209706,3h
13_54,arhgdia,13,0.320565614381,,0.221956695756,3h
13_55,arhgdia,13,0.320565614381,,0.221956695756,3h
13_56,arhgdia,13,0.3272591857,,0.219288879137,3h
13_57,arhgdia,13,0.301806245323,,0.222308496649,3h
13_58,arhgdia,13,0.301806245323,,0.222308496649,3h
13_59,arhgdia,13,0.317240708038,,0.213695777138,3h
13_60,arhgdia,13,0.317240708038,,0.213695777138,3h
13_61,arhgdia,13,0.333970688771,,0.212036136452,3h
13_62,arhgdia,13,0.333970688771,,0.212036136452,3h
13_63,arhgdia,13,0.347601108513,,0.20928309537,3h
13_64,arhgdia,13,0.348153877291,,0.208833009298,3h
13_65,arhgdia,13,0.313495700755,,0.221775697699,3h
13_66,arhgdia,13,0.314525310913,,0.226607959194,3h
13_67,arhgdia,13,0.314525310913,,0.226607959194,3h
13_68,arhgdia,13,0.286375960235,,0.235663407638,3h
13_69,arhgdia,13,0.286375960235,,0.235663407638,3h
13_70,arhgdia,13,0.266691093247,,0.242045713794,3h
13_71,arhgdia,13,0.256145618315,,0.243358850583,3h
13_72,arhgdia,13,0.256145618315,,0.243358850583,3h
13_73,arhgdia,13,0.272393191782,,0.242769880154,3h
13_74,arhgdia,13,0.272393191782,,0.242769880154,3h
13_75,arhgdia,13,0.276268052255,,0.243479819298,3h
13_76,arhgdia,13,0.276268052255,,0.243479819298,3h
13_77,arhgdia,13,0.277144932852,,0.152317118061,3h
13_78,arhgdia,13,0.266124968506,,0.148421527736,3h
13_79,arhgdia,13,0.266124968506,,0.148421527736,3h
13_80,arhgdia,13,0.246533663064,,0.14912484176,3h
13_81,arhgdia,13,0.246533663064,,0.14912484176,3h
13_82,arhgdia,13,0.236036775457,,0.152909181852,3h
13_83,arhgdia,13,0.236036775457,,0.152909181852,3h
13_84,arhgdia,13,0.234275524035,,0.153635119028,3h
13_85,arhgdia,13,0.232199560332,,0.157598498633,3h
13_86,arhgdia,13,0.232199560332,,0.157598498633,3h
13_87,arhgdia,13,0.230051761226,,0.159408428726,3h
13_88,arhgdia,13,0.229536399855,,0.159588390403,3h
13_89,arhgdia,13,0.227057098499,,0.160565418023,3h
13_90,arhgdia,13,0.227057098499,,0.160565418023,3h
14_1,arhgdia,14,0.0653081203627,0.0653081203627,0.161756791554,3h
14_2,arhgdia,14,0.0653081203627,0.0653081203627,0.161756791554,3h
14_3,arhgdia,14,0.0644126288946,0.0644126288946,0.171634452024,3h
14_4,arhgdia,14,0.0644126288946,0.0644126288946,0.171634452024,3h
14_5,arhgdia,14,0.0635396253931,0.0635396253931,0.185436769869,3h
14_6,arhgdia,14,0.0688135654566,0.0688135654566,0.185386804576,3h
14_7,arhgdia,14,0.0688135654566,0.0688135654566,0.185386804576,3h
14_8,arhgdia,14,0.0623429409503,0.0623429409503,0.19479583215,3h
14_9,arhgdia,14,0.0623429409503,0.0623429409503,0.19479583215,3h
14_10,arhgdia,14,0.0675861823805,0.0675861823805,0.189973982881,3h
14_11,arhgdia,14,0.0673217368211,0.0673217368211,0.190700244909,3h
14_12,arhgdia,14,0.0668694879934,0.0668694879934,0.187964743807,3h
14_13,arhgdia,14,0.0668694879934,0.0668694879934,0.187964743807,3h
14_14,arhgdia,14,0.0715616531165,0.0715616531165,0.199673471244,3h
14_15,arhgdia,14,0.0715616531165,0.0715616531165,0.199673471244,3h
14_16,arhgdia,14,0.0709888244569,0.0709888244569,0.203058874278,3h
14_17,arhgdia,14,0.0755736699545,0.0755736699545,0.22728709413,3h
14_18,arhgdia,14,0.0755736699545,0.0755736699545,0.22728709413,3h
14_19,arhgdia,14,0.0750133159732,0.0750133159732,0.234202348801,3h
14_20,arhgdia,14,0.0750133159732,0.0750133159732,0.234202348801,3h
14_21,arhgdia,14,0.0741953287675,0.0741953287675,0.241300099867,3h
14_22,arhgdia,14,0.0788618999029,0.0788618999029,0.239312481131,3h
14_23,arhgdia,14,0.0788618999029,0.0788618999029,0.239312481131,3h
14_24,arhgdia,14,0.0781873288206,0.0781873288206,0.253915706442,3h
14_25,arhgdia,14,0.0781873288206,0.0781873288206,0.253915706442,3h
14_26,arhgdia,14,0.0772344677982,0.0772344677982,0.278971712722,3h
14_27,arhgdia,14,0.0764161863651,0.0764161863651,0.27666228766,3h
14_28,arhgdia,14,0.0764161863651,0.0764161863651,0.27666228766,3h
14_29,arhgdia,14,0.0706442982945,0.0706442982945,0.300379119594,3h
14_30,arhgdia,14,0.0749698346228,0.0749698346228,0.298235229236,3h
14_31,arhgdia,14,0.0749698346228,0.0749698346228,0.298235229236,3h
14_32,arhgdia,14,0.0742733807329,0.0742733807329,0.305721197523,3h
14_33,arhgdia,14,0.0742733807329,0.0742733807329,0.305721197523,3h
14_34,arhgdia,14,0.0784677887406,0.0784677887406,0.295898623734,3h
14_35,arhgdia,14,0.0778496902135,0.0778496902135,0.296764001966,3h
14_36,arhgdia,14,0.0778496902135,0.0778496902135,0.296764001966,3h
14_37,arhgdia,14,0.082150809022,0.082150809022,0.297257683277,3h
14_38,arhgdia,14,0.0961793830861,0.0961793830861,0.295540645367,3h
14_39,arhgdia,14,0.0961793830861,0.0961793830861,0.295540645367,3h
14_40,arhgdia,14,0.0957767551515,0.0957767551515,0.288216092921,3h
14_41,arhgdia,14,0.0955298799376,0.0955298799376,0.297964971385,3h
14_42,arhgdia,14,0.0955298799376,0.0955298799376,0.297964971385,3h
14_43,arhgdia,14,0.0953086345487,0.0953086345487,0.295813967758,3h
14_44,arhgdia,14,0.095031377224,0.095031377224,0.309238068857,3h
14_45,arhgdia,14,0.095031377224,0.095031377224,0.309238068857,3h
14_46,arhgdia,14,0.0949986134325,0.0949986134325,0.309913429729,3h
14_47,arhgdia,14,0.0949986134325,0.0949986134325,0.309913429729,3h
14_48,arhgdia,14,0.104946820922,0.104946820922,0.310700370568,3h
14_49,arhgdia,14,0.105610598555,0.105610598555,0.311225417116,3h
14_50,arhgdia,14,0.10569225871,0.10569225871,0.311314067236,3h
14_51,arhgdia,14,0.101546226566,0.101546226566,0.312461437901,3h
14_52,arhgdia,14,0.0973068832624,0.0973068832624,0.31276758656,3h
14_53,arhgdia,14,0.0973068832624,0.0973068832624,0.31276758656,3h
14_54,arhgdia,14,0.098112068365,0.098112068365,0.317150602003,3h
14_55,arhgdia,14,0.0990768461124,0.0990768461124,0.318424750695,3h
14_56,arhgdia,14,0.0990768461124,0.0990768461124,0.318424750695,3h
14_57,arhgdia,14,0.105020714145,0.105020714145,0.322375119803,3h
14_58,arhgdia,14,0.10535492349,0.10535492349,0.322752419069,3h
14_59,arhgdia,14,0.101396755304,0.101396755304,0.323837028672,3h
14_60,arhgdia,14,0.102590044516,0.102590044516,0.325258582155,3h
14_61,arhgdia,14,0.102590044516,0.102590044516,0.325258582155,3h
14_62,arhgdia,14,0.0986656123762,0.0986656123762,0.323526983075,3h
14_63,arhgdia,14,0.0991465553442,0.0991465553442,0.3240862295,3h
14_64,arhgdia,14,0.095077553946,0.095077553946,0.325595210859,3h
14_65,arhgdia,14,0.101375243099,0.101375243099,0.323621644562,3h
14_66,arhgdia,14,0.101375243099,0.101375243099,0.323621644562,3h
14_67,arhgdia,14,0.102472618653,0.102472618653,0.326608483892,3h
14_68,arhgdia,14,0.102472618653,0.102472618653,0.326608483892,3h
14_69,arhgdia,14,0.0976744783417,0.0976744783417,0.325722062089,3h
14_70,arhgdia,14,0.0980893746184,0.0980893746184,0.350728440219,3h
14_71,arhgdia,14,0.0980893746184,0.0980893746184,0.350728440219,3h
14_72,arhgdia,14,0.098066607063,0.098066607063,0.35411737066,3h
14_73,arhgdia,14,0.0925444737452,0.0925444737452,0.356193471397,3h
14_74,arhgdia,14,0.0923936813399,0.0923936813399,0.355471268201,3h
14_75,arhgdia,14,0.0923936813399,0.0923936813399,0.355471268201,3h
14_76,arhgdia,14,0.0976209832699,0.0976209832699,0.356730173601,3h
14_77,arhgdia,14,0.0976209832699,0.0976209832699,0.356730173601,3h
14_78,arhgdia,14,0.0975008333405,0.0975008333405,0.35948623452,3h
14_79,arhgdia,14,0.0974516906149,0.0974516906149,0.361434996955,3h
14_80,arhgdia,14,0.097390955426,0.097390955426,0.361495827164,3h
14_81,arhgdia,14,0.0973087093747,0.0973087093747,0.370628574324,3h
14_82,arhgdia,14,0.0972100316151,0.0972100316151,0.373438663737,3h
14_83,arhgdia,14,0.0972100316151,0.0972100316151,0.373438663737,3h
