,Gene,Image,MTOC,MTOC leading edge,Non MTOC1,Non MTOC2,Non MTOC3,timepoint
24_41,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_42,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_43,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_44,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_45,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_46,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_47,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_48,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_49,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_50,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_51,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_52,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_53,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_54,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_55,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_56,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_57,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_58,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_59,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_60,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_61,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_62,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_63,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_64,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_65,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_66,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_67,arhgdia,24,0.0,,0.0,0.0,0.0,5h
24_68,arhgdia,24,0.0,,0.0,0.0,0.0,5h
