,Gene,Image,MTOC,MTOC leading edge,Non MTOC1,Non MTOC2,Non MTOC3,timepoint
2_34,arhgdia_nocodazole,2,1.6622891215965527,1.6622891215965527,0.7982771058594056,0.7168013494876735,1.2629951199266316,5h
2_35,arhgdia_nocodazole,2,1.6359111806484183,1.6359111806484183,0.7892903833080583,0.7305301348036607,1.2708216862113793,5h
2_36,arhgdia_nocodazole,2,1.7866206572627688,1.7866206572627688,0.7796442075249489,0.744565817929249,1.181774478193671,5h
2_37,arhgdia_nocodazole,2,1.7866206572627688,1.7866206572627688,0.7796442075249489,0.744565817929249,1.181774478193671,5h
2_38,arhgdia_nocodazole,2,1.7559044345730854,1.7559044345730854,1.1552544780627991,0.7589727498732833,1.0917311506109975,5h
2_39,arhgdia_nocodazole,2,1.7138123263319582,1.7138123263319582,1.1386079858058729,0.7760381211708646,1.1048781656436166,5h
2_40,arhgdia_nocodazole,2,1.7138123263319582,1.7138123263319582,1.1386079858058729,0.7760381211708646,1.1048781656436166,5h
2_41,arhgdia_nocodazole,2,1.8535865193707683,1.8535865193707683,1.1268500121442822,0.7891187191407403,1.0130090616176037,5h
2_42,arhgdia_nocodazole,2,1.8182670404766077,1.8182670404766077,1.1152752572870916,0.8033809533947924,1.0231572919276486,5h
2_43,arhgdia_nocodazole,2,1.8182670404766077,1.8182670404766077,1.1152752572870916,0.8033809533947924,1.0231572919276486,5h
2_44,arhgdia_nocodazole,2,1.950594989885344,1.950594989885344,1.1034043125581179,0.818629716167579,0.9289029783998315,5h
2_45,arhgdia_nocodazole,2,1.9138333726406125,1.9138333726406125,0.7283487364788179,1.2491172472237426,0.9389660717406068,5h
2_46,arhgdia_nocodazole,2,1.9138333726406125,1.9138333726406125,0.7283487364788179,1.2491172472237426,0.9389660717406068,5h
2_47,arhgdia_nocodazole,2,1.8757813891639086,1.8757813891639086,0.7215231262560304,1.2706248400522608,0.9501196021654288,5h
2_48,arhgdia_nocodazole,2,1.8393101733827923,1.8393101733827923,1.0708123652048886,1.296427786125261,0.8544329056526871,5h
2_49,arhgdia_nocodazole,2,1.8017476006302822,1.8017476006302822,1.05999344538602,1.3207313829166647,0.8657158490882039,5h
2_50,arhgdia_nocodazole,2,1.8017476006302822,1.8017476006302822,1.05999344538602,1.3207313829166647,0.8657158490882039,5h
2_51,arhgdia_nocodazole,2,1.7469498362649265,1.7469498362649265,1.056495371848069,1.3530324363476418,0.8813631769155443,5h
2_52,arhgdia_nocodazole,2,1.7324909780442785,1.7324909780442785,1.3735206400590168,0.8896973569499796,1.0343579875331,5h
2_53,arhgdia_nocodazole,2,1.7324909780442785,1.7324909780442785,1.3735206400590168,0.8896973569499796,1.0343579875331,5h
2_54,arhgdia_nocodazole,2,1.5574401599337213,1.5574401599337213,1.400876150876151,0.9024563199326519,1.363466371334469,5h
2_55,arhgdia_nocodazole,2,1.3884657332220618,1.3884657332220618,1.428593062612159,0.9160344259399857,1.6850199608820302,5h
2_56,arhgdia_nocodazole,2,1.2257551290593398,1.2257551290593398,1.455382764047024,0.9307281627035366,1.9975789488544122,5h
2_57,arhgdia_nocodazole,2,1.2257551290593398,1.2257551290593398,1.455382764047024,0.9307281627035366,1.9975789488544122,5h
2_58,arhgdia_nocodazole,2,1.202608296575814,1.202608296575814,1.482539865473671,0.9463635765139617,1.9723320846763654,5h
2_59,arhgdia_nocodazole,2,1.1806715385310704,1.1806715385310704,1.5104152768067292,0.962557227884161,1.9464093508530007,5h
2_60,arhgdia_nocodazole,2,1.1806715385310704,1.1806715385310704,1.5104152768067292,0.962557227884161,1.9464093508530007,5h
2_61,arhgdia_nocodazole,2,1.1596751601013229,1.1596751601013229,1.535342082277691,0.9798519341779646,1.920904913492931,5h
2_62,arhgdia_nocodazole,2,1.2648774107388876,1.2648774107388876,1.5672305089532692,0.8739658510825559,1.8908314667548594,5h
2_63,arhgdia_nocodazole,2,1.2648774107388876,1.2648774107388876,1.5672305089532692,0.8739658510825559,1.8908314667548594,5h
2_64,arhgdia_nocodazole,2,1.2376835172332359,1.2376835172332359,1.598649927271187,0.8949534731803311,1.8604918711747191,5h
2_65,arhgdia_nocodazole,2,1.2150324768579042,1.2150324768579042,1.6219957072320819,0.9148764315184834,1.8339257305602445,5h
2_66,arhgdia_nocodazole,2,1.2150324768579042,1.2150324768579042,1.6219957072320819,0.9148764315184834,1.8339257305602445,5h
2_67,arhgdia_nocodazole,2,1.193195616538158,1.193195616538158,1.6400192394617588,0.9368024202271978,1.8069819783868342,5h
2_68,arhgdia_nocodazole,2,1.172612806570162,1.172612806570162,1.6551693886801282,0.9594607160811687,1.7822399463448195,5h
2_69,arhgdia_nocodazole,2,1.1664022730841563,1.1664022730841563,1.6556729196954318,0.9668294532727282,1.7765676127402128,5h
2_70,arhgdia_nocodazole,2,1.1474783696039565,1.1474783696039565,1.665553374745831,0.9905667806973398,1.7543054886165874,5h
2_71,arhgdia_nocodazole,2,1.129562974617612,1.129562974617612,1.6686172831499169,1.0158747496253995,1.7334566536302412,5h
2_72,arhgdia_nocodazole,2,1.129562974617612,1.129562974617612,1.6686172831499169,1.0158747496253995,1.7334566536302412,5h
2_73,arhgdia_nocodazole,2,1.114316190098196,1.114316190098196,1.6720776822931283,1.039852795978817,1.71292905693724,5h
2_74,arhgdia_nocodazole,2,1.095095143899925,1.095095143899925,1.673813269615207,1.0735772169370748,1.6860640037652779,5h
2_75,arhgdia_nocodazole,2,1.095095143899925,1.095095143899925,1.673813269615207,1.0735772169370748,1.6860640037652779,5h
2_76,arhgdia_nocodazole,2,1.0824999569685183,1.0824999569685183,1.675681436679012,1.0982037949726882,1.6664139611226017,5h
2_77,arhgdia_nocodazole,2,0.9571095127000778,0.9571095127000778,1.6754235105718538,1.14187569222469,1.9028908829987723,5h
2_78,arhgdia_nocodazole,2,0.9571095127000778,0.9571095127000778,1.6754235105718538,1.14187569222469,1.9028908829987723,5h
2_79,arhgdia_nocodazole,2,0.948649790161033,0.948649790161033,1.6711150214642962,1.162813630564612,1.891623626066705,5h
2_80,arhgdia_nocodazole,2,0.8295734788871967,0.8295734788871967,1.6640892359436925,1.2065789978567003,2.130516283481639,5h
2_81,arhgdia_nocodazole,2,0.8295734788871967,0.8295734788871967,1.6640892359436925,1.2065789978567003,2.130516283481639,5h
2_82,arhgdia_nocodazole,2,0.8212760423609891,0.8212760423609891,1.6665734265734267,1.2349753040472935,2.1088075155677823,5h
2_83,arhgdia_nocodazole,2,0.8168615427911168,0.8168615427911168,1.6576269995138495,1.2510502858387842,2.103001600909551,5h
2_84,arhgdia_nocodazole,2,0.8094129053673961,0.8094129053673961,1.6543518036792604,1.2790554655411694,2.0871989390874104,5h
2_85,arhgdia_nocodazole,2,0.8022928728310303,0.8022928728310303,1.649525696883151,1.307147947266321,2.0738892430804405,5h
